"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","4.44089209850063E-16","-6.66133814775094E-16","-3.99680288865056E-15","4.44089209850063E-16","3.10862446895044E-15","-6.66133814775094E-16","-1.33226762955019E-14","7.99360577730113E-15","3.19744231092045E-14","2.39808173319034E-14","1.4210854715202E-14","-5.15143483426073E-14","6.83897383169096E-14","-4.17443857259059E-14","-7.90478793533111E-14","3.01980662698043E-14","1.4210854715202E-14","-4.79616346638068E-14","-1.77635683940025E-15","1.77635683940025E-14","2.1316282072803E-14","-5.32907051820075E-14","3.37507799486048E-14","-3.73034936274053E-14","7.28306304154103E-14","4.2632564145606E-14","-3.5527136788005E-15","5.6843418860808E-14","-2.1316282072803E-14","3.5527136788005E-15","2.48689957516035E-14","2.48689957516035E-14","-4.17443857259059E-14","3.5527136788005E-15","-7.99360577730113E-15","-2.22044604925031E-14","-1.4210854715202E-14","-8.88178419700125E-15","-4.08562073062058E-14","2.1316282072803E-14","-7.99360577730113E-15","-2.48689957516035E-14","1.4210854715202E-14","","","",
"Andorra","AND","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-9.09494701772928E-13","8.00000000000136","15.9999999999995","23.9999999999995","31.9999999999995","40","48","56.0000000000014","63.9999999999995","72","80","88","96.0000000000005","104","112.000000000001","120.000000000001","128.000000000001","135.999999999999","144","152","160","160","160.000000000001","159.999999999999","160","160","160","159.999999999999","6.00000000000091","124.88","126.47","243.517","3.23409999999967","549.602999999999","267.282","98.5662999999995","40.0024000000003","204.562","9.0196000000019","158.067999999975","349.000000000037","348.999999999989","349.000000000026","","","",
"Angola","AGO","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","172.709080000004","164.887430000004","157.062699999999","149.231120000004","141.395500000004","133.557029999996","114.856090000001","106.704180000001","95.59058","85.7409699999989","66.1791599999997","50.8289600000007","40.9630799999995","32.7853199999972","19.9537799999998","7.11982999999964","7.16565000000264","7.23473999999806","7.3028000000013","7.33518000000004","7.38469139999506","7.22526899999866","7.18386000000464","7.00319000000309","6.71634900000026","6.63863799999672","6.60078499999872","6.95042000000149","545.418999999999","531.829999999996","501.504000000004","477.399999999997","501.369","553.254999999999","558.372999999998","563.447000000003","521.814999999998","513.018","513.898000000002","532.497","547.081","547.080999999998","547.080999999996","","","",
"Albania","ALB","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-1.13686837721616E-13","30.6250000000003","61.2499999999998","91.8750000000008","122.5","153.125","183.75","214.375","245","275.625","306.25","336.874999999999","367.499999999999","398.125000000001","428.75","459.375","489.999999999999","520.625000000001","551.25","581.875","612.50426","609.608300000001","606.7393","604.137","601.925","600.585","599.85","596.825","105.5056","52.3242999999999","1242.43","38.8989999999999","31.0859600000001","103.2337","57.0718500000005","74.7839999999992","77.5199499999994","1872.64","141.307699999999","126.5924","153.038600000001","153.038599999999","153.038599999989","","","",
"Arab World","ARB","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","8.59756710269721E-13","1367.296","3948.268","5065.15500000003","6552.31000000001","8195.03499999999","10081.24","11898.475","13501","15351.825","17288.65","18336.575","19950.8","20966.825","22722.95","24428.875","25351.8","26733.725","27498.65","28880.575","30455.7875717","28912.676696","29096.255394","28943.45988","28671.07513","28502.46798","29528.1171","29696.54068","425470.1307","408474.3733","426031.3615","316720.50357762","403544.0319965","388399.97001","374145.26718","417729.37227","299335.5171","391279.84099","382715.22838","367700.079074","311201.51835","311201.51835","311201.518350001","","","",
"United Arab Emirates","ARE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","5.11590769747272E-13","6.70000000000297","20.7999999999959","49.2500000000003","83.5000000000045","160.749999999998","187.900000000002","227.050000000002","270.200000000001","345.35","421.499999999998","373.649999999996","352.800000000001","327.950000000003","367.099999999996","385.250000000005","403.399999999996","422.549999999997","416.699999999999","459.85","845.999999999999","945.983329999995","892.966670000011","769.949999999996","654.933330000005","599.91667000001","653.900000000006","737.883330000007","710","810.999999999995","878.000000000005","897.99999999999","915.000000000007","946.999999999997","1024.00000000001","1065.99999999998","1168.00000000001","1225.99999999999","1281.00000000001","1351.99999999999","1425.00000000001","1425.00000000001","1425","","","",
"Argentina","ARG","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","16895.533","9893.95441999999","13405.33884","10148.6833","11396.18","13917.34","17246.16","11883.75","15480.1","17373.24","18723.07","16366.09","17522.43","17820.78","12845.67","14089.37","15610.95","20078.98","15897.87","16092.74","19099.98","17545.1841","17298.4751","19393.9027","11299.1975","13405.6992","14331.8979","24642.7","24604.3","44021.7","41245.3","45650.8","45199.2","59191.8","66071.1","50238.5","53693.6","57330.2","82795.2","58981.5","38286.6","38286.6","38286.6","","","",
"Armenia","ARM","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","152.999999999999","169.8","185.6","205.4","221.2","241","256.800000000001","267.599999999999","278.4","295.200000000001","302","312.8","326.599999999999","291.4","145.8","86.9999999999987","92.7999999999979","98.599999999999","104.400000000001","110.2","116.028000000002","117.846","119.521","121.913000000001","125.294","130.846","137.366999999999","142.878","89.9078000000003","56.9655000000004","111.6541","100.0395","113.981","153.84134","350.777","363.9259","527.144","422.20858","491.8041","518.999999999981","709.543000000011","709.54299999999","709.54299999995","","","",
"American Samoa","ASM","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-2.22044604925031E-16","-7.7715611723761E-16","-3.33066907387547E-16","2.22044604925031E-16","-5.55111512312578E-16","7.7715611723761E-16","0","-4.44089209850063E-16","-8.88178419700125E-16","-4.44089209850063E-16","8.88178419700125E-16","2.22044604925031E-15","1.55431223447522E-15","-7.7715611723761E-16","-6.66133814775094E-16","4.44089209850063E-16","1.11022302462516E-16","1.33226762955019E-15","0","6.66133814775094E-16","1.33226762955019E-15","8.88178419700125E-16","-2.66453525910038E-15","-7.7715611723761E-16","3.33066907387547E-16","1.11022302462516E-16","1.55431223447522E-15","1.77635683940025E-15","2.22044604925031E-16","-1.77635683940025E-15","3.5527136788005E-15","0","0","0","0","-3.5527136788005E-15","0","0","3.5527136788005E-15","0","3.5527136788005E-15","-3.5527136788005E-15","7.105427357601E-15","","","",
